Batch Number,Total runs,Failed runs,Mean Successful runs,Standard Deviation
1,30,5,36.603368539810184,1.6924808353195158
2,30,2,36.30583095550537,1.268730110495613
3,30,2,36.49072095326015,1.2765514572914882
